batch	compound	rt_mean	rt_shift	rt_stdev	sample
1	PGE1	5.08080373831776	0.0131962616822427	0.0418833598813389	pr01_example_aac_0001
1	PGE2	4.88949514563107	0.00950485436893178	0.0106171095605047	pr01_example_aac_0001
1	PGE3	4.12865048543689	0.00534951456310662	0.0131400515845407	pr01_example_aac_0001
1	PGE1	5.08080373831776	-0.0588037383177564	0.0418833598813389	pr01_example_aac_0001
1	PGE2	4.88949514563107	NA	0.0106171095605047	pr01_example_aac_0001
1	PGE3	4.12865048543689	NA	0.0131400515845407	pr01_example_aac_0001
1	PGE1	5.08080373831776	0.0211962616822436	0.0418833598813389	pr01_example_aac_0001
1	PGE2	4.88949514563107	0.015504854368932	0.0106171095605047	pr01_example_aac_0001
1	PGE3	4.12865048543689	0.00834951456310673	0.0131400515845407	pr01_example_aac_0001
1	PGE1	5.08080373831776	0.126196261682244	0.0418833598813389	pr01_example_aac_0001cal0
1	PGE2	4.88949514563107	0.00550485436893133	0.0106171095605047	pr01_example_aac_0001cal0
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_0001cal0
1	PGE1	5.08080373831776	0.00919626168224319	0.0418833598813389	pr01_example_aac_0001cal1
1	PGE2	4.88949514563107	0.00250485436893122	0.0106171095605047	pr01_example_aac_0001cal1
1	PGE3	4.12865048543689	-0.0026504854368925	0.0131400515845407	pr01_example_aac_0001cal1
1	PGE1	5.08080373831776	0.0171962616822432	0.0418833598813389	pr01_example_aac_0001cal2
1	PGE2	4.88949514563107	0.0115048543689316	0.0106171095605047	pr01_example_aac_0001cal2
1	PGE3	4.12865048543689	0.00334951456310684	0.0131400515845407	pr01_example_aac_0001cal2
1	PGE1	5.08080373831776	0.0131962616822427	0.0418833598813389	pr01_example_aac_0001cal3
1	PGE2	4.88949514563107	0.00450485436893189	0.0106171095605047	pr01_example_aac_0001cal3
1	PGE3	4.12865048543689	0.00134951456310706	0.0131400515845407	pr01_example_aac_0001cal3
1	PGE1	5.08080373831776	0.00819626168224286	0.0418833598813389	pr01_example_aac_0001cal4
1	PGE2	4.88949514563107	-0.00349514563106812	0.0106171095605047	pr01_example_aac_0001cal4
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_0001cal4
1	PGE1	5.08080373831776	0.0171962616822432	0.0418833598813389	pr01_example_aac_0001cal5
1	PGE2	4.88949514563107	0.0165048543689323	0.0106171095605047	pr01_example_aac_0001cal5
1	PGE3	4.12865048543689	0.00534951456310662	0.0131400515845407	pr01_example_aac_0001cal5
1	PGE1	5.08080373831776	0.00919626168224319	0.0418833598813389	pr01_example_aac_0001cal6
1	PGE2	4.88949514563107	-0.00149514563106834	0.0106171095605047	pr01_example_aac_0001cal6
1	PGE3	4.12865048543689	-0.0346504854368934	0.0131400515845407	pr01_example_aac_0001cal6
1	PGE1	5.08080373831776	0.00619626168224308	0.0418833598813389	pr01_example_aac_0001
1	PGE2	4.88949514563107	0.00350485436893155	0.0106171095605047	pr01_example_aac_0001
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_0001
1	PGE1	5.08080373831776	0.0731962616822432	0.0418833598813389	pr01_example_aac_0001
1	PGE2	4.88949514563107	0.00050485436893144	0.0106171095605047	pr01_example_aac_0001
1	PGE3	4.12865048543689	-0.00365048543689284	0.0131400515845407	pr01_example_aac_0001
1	PGE1	5.08080373831776	0.0131962616822427	0.0418833598813389	pr01_example_aac_108
1	PGE2	4.88949514563107	0.0105048543689321	0.0106171095605047	pr01_example_aac_108
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_108
1	PGE1	5.08080373831776	0.00519626168224363	0.0418833598813389	pr01_example_aac_173
1	PGE2	4.88949514563107	0.0105048543689321	0.0106171095605047	pr01_example_aac_173
1	PGE3	4.12865048543689	-0.00565048543689262	0.0131400515845407	pr01_example_aac_173
1	PGE1	5.08080373831776	0.0221962616822431	0.0418833598813389	pr01_example_aac_196
1	PGE2	4.88949514563107	0.0135048543689322	0.0106171095605047	pr01_example_aac_196
1	PGE3	4.12865048543689	0.0113495145631068	0.0131400515845407	pr01_example_aac_196
1	PGE1	5.08080373831776	-0.0538037383177565	0.0418833598813389	pr01_example_aac_194
1	PGE2	4.88949514563107	0.0135048543689322	0.0106171095605047	pr01_example_aac_194
1	PGE3	4.12865048543689	0.00234951456310739	0.0131400515845407	pr01_example_aac_194
1	PGE1	5.08080373831776	0.0041962616822433	0.0418833598813389	pr01_example_aac_141
1	PGE2	4.88949514563107	-0.00149514563106834	0.0106171095605047	pr01_example_aac_141
1	PGE3	4.12865048543689	-0.00465048543689317	0.0131400515845407	pr01_example_aac_141
1	PGE1	5.08080373831776	0.00519626168224363	0.0418833598813389	pr01_example_aac_083
1	PGE2	4.88949514563107	0.00150485436893177	0.0106171095605047	pr01_example_aac_083
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_083
1	PGE1	5.08080373831776	-0.000803738317756597	0.0418833598813389	pr01_example_aac_071
1	PGE2	4.88949514563107	-0.00149514563106834	0.0106171095605047	pr01_example_aac_071
1	PGE3	4.12865048543689	-0.00165048543689306	0.0131400515845407	pr01_example_aac_071
1	PGE1	5.08080373831776	0.00819626168224286	0.0418833598813389	pr01_example_aac_183
1	PGE2	4.88949514563107	0.00850485436893145	0.0106171095605047	pr01_example_aac_183
1	PGE3	4.12865048543689	-0.000650485436892723	0.0131400515845407	pr01_example_aac_183
