compound	batch	be	be_perc
PGE1	1	0.021231073074391	2.1231073074391
PGE2	1	NA	NA
PGE3	1	NA	NA
PGE1	2	0.0510879848628193	5.10879848628193
PGE2	2	0.0040577558178234	0.40577558178234
PGE3	2	0.00148842310385178	0.148842310385178
PGE1	3	0.0520432692307692	5.20432692307692
PGE2	3	0.0195364847465644	1.95364847465644
PGE3	3	0.00182438991731664	0.182438991731664
